fam,pid,addr,size,lvl,id,lbl,def,unit,min_max,descr,fmt,rw,opt
sys,0.1.16,5120,4,ViewOnly,28,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.16,5124,4,ViewOnly,29,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.16,5128,2,ViewOnly,30,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.16,5130,2,ViewOnly,31,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.16,5132,4,ViewOnly,32,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.16,5136,4,ViewOnly,33,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
sys,0.1.16,5140,2,ViewOnly,34,Day runtime,0,h,-,Day runtime measured.,float,R,-
sys,0.1.16,5142,2,ViewOnly,35,Total runtime,0,h,-,Total runtime measured.,float,R,-
sys,0.1.16,5144,2,ViewOnly,36,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.16,5146,2,ViewOnly,37,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.16,5148,2,ViewOnly,38,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.16,5150,2,ViewOnly,39,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.16,5152,2,ViewOnly,40,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.16,5154,2,ViewOnly,41,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.16,5156,2,ViewOnly,42,Produced active power,0,W,-,Produced active power measured.,float,R,-
sys,0.1.16,5158,2,ViewOnly,44,Consumed active power,0,W,-,Consumed active power measured.,float,R,-
,,,,,,,,,,,,,
sys,0.1.17,5400,2,ViewOnly,0,Phase voltage,0,V,-,Phase voltage RMS measured.,float,R,-
sys,0.1.17,5402,2,ViewOnly,4,Current,0,A,-,Current RMS measured.,float,R,-
sys,0.1.17,5404,2,ViewOnly,8,Active power,0,W,-,Active power measured.,float,R,-
sys,0.1.17,5406,2,ViewOnly,12,Reactive power,0,VAR,-,Reactive power measured.,float,R,-
sys,0.1.17,5408,2,ViewOnly,16,Apparent power,0,VA,-,Apparent power measured.,float,R,-
sys,0.1.17,5410,2,ViewOnly,20,Power factor,0,,-,Power factor measured.,float,R,-
sys,0.1.17,5412,2,ViewOnly,24,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.17,5414,2,ViewOnly,25,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.17,5416,2,ViewOnly,26,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.17,5418,2,ViewOnly,27,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.17,5420,2,ViewOnly,28,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.17,5422,2,ViewOnly,29,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.17,5428,2,ViewOnly,32,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.17,5430,2,ViewOnly,33,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.17,5432,4,ViewOnly,34,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
